siteName,siteTime,siteAddress,daysofOperation,siteDistrict,siteCounty,siteState,siteZip,contactPhone,startDate,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,siteStatus,endDate,_updatedOn
Sheridan Elementary School,11:00AM-12:00PM,"3737 E 5th Ave, Spokane","'M', 'T', 'W', 'TH', 'F'",Spokane,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Stevens Elementary School,11:00AM-12:00PM,"1717 E Sinto Ave, Spokane","'M', 'T', 'W', 'TH', 'F'",Spokane,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Shaw Middle School,11:00AM-12:00PM,"4106 N Cook St, Spokane","'M', 'T', 'W', 'TH', 'F'",Spokane,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Rogers High School,11:00AM-12:00PM,"1622 E Wellesley Ave, Spokane","'M', 'T', 'W', 'TH', 'F'",Spokane,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Shadle Park High School,11:00AM-12:00PM,"4327 N Ash St, Spokane","'M', 'T', 'W', 'TH', 'F'",Spokane,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Ferris High School,11:00AM-12:00PM,"3020 E 37th Ave, Spokane","'M', 'T', 'W', 'TH', 'F'",Spokane,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Ness Elementary School,11:00AM-1:00PM,"9612 E Cataldo Ave, Spokane Valley","'M', 'T', 'W', 'TH', 'F'",West Valley,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Orchard Center Elementary School,11:00AM-1:00PM,"7519 E. Buckeye Ave, Spokane","'M', 'T', 'W', 'TH', 'F'",West Valley,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pasadena Park Elementary School,11:00AM-1:00PM,"8508 E. Upriver Dr., Spokane Valley","'M', 'T', 'W', 'TH', 'F'",West Valley,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Seth Woodard Elementary School,11:00AM-1:00PM,"7401 E Mission Ave, Spokane Valley","'M', 'T', 'W', 'TH', 'F'",West Valley,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Centennial Middle School,11:00AM-1:00PM,"915 Ella Rd, Spokane Valley","'M', 'T', 'W', 'TH', 'F'",West Valley,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
West Valley High School,11:00AM-1:00PM,"8301 E Buckeye Ave, Spokane Valley","'M', 'T', 'W', 'TH', 'F'",West Valley,Spokane County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Gess Elementary School,9:00AM-11:00AM,"405 E Lincoln Ave, Chewelah","'M', 'T', 'W', 'TH', 'F'",Chewelah,Stevens County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Loon Lake School #183,9:00AM-11:00AM,"4001 Maple St, Loon Lake","M,W",Loon Lake,Stevens County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Kurt’s Corner,9:00AM-10:30AM,"5451 Ford-Wellprint Rd, Ford","M,W,Th",Wellprint,Stevens County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pappy’s Corner,11:30AM-12:30PM,"6394 West End Rd, Fruitland","M,W,Th",Wellprint,Stevens County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Wellprint High School,10:00AM-12:00PM,"6270 Ford-Wellprint Rd, Wellprint","M,W,Th",Wellprint,Stevens County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Chambers Prairie Elementary,11:30AM-12:30PM,"6501 Virginia St SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Evergreen Forest Elementary,11:30AM-12:30PM,"3025 Marvin Rd. SE, Olympia","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Horizons Elementary,11:30AM-12:30PM,"4601 67th Ave SE, Olympia","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lacey Elementary,11:30AM-12:30PM,"1800 Homann Dr. SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lakes Elementary,11:30AM-12:30PM,"6211 Mullen Rd SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lydia Hawk Elementary,11:30AM-12:30PM,"7600 5th Ave SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Meadows Elementary,11:30AM-12:30PM,"836 Deerbrush Dr SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Mountain View Elementary,11:30AM-12:30PM,"1900 College St SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Olympic View Elementary,11:30AM-12:30PM,"1330 Home St SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pleasant Glade Elementary,11:30AM-12:30PM,"1920 Abernethy Rd NE, Olympia","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Seven Oaks Elementary,11:30AM-12:30PM,"1800 7 Oaks, Rd SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
South Bay Elementary,11:30AM-12:30PM,"3845 Sleater Kinney Rd NE, Olympia","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Woodland Elementary,11:30AM-12:30PM,"4630 Carpenter Rd SE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Salish Middle School,11:30AM-12:30PM,"Campus Glenn Dr NE, Lacey","'M', 'T', 'W', 'TH', 'F'",North Thurston,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Boston Harbor Elementary,11:00AM-1:00PM,"7300 Zangle Rd. NE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Centennial Elementary,11:00AM-1:00PM,"2637 45th Ave. SE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Garfield Elementary,11:00AM-1:00PM,"325 Plymouth St. NW., Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Hansen Elementary,11:00AM-1:00PM,"1919 Road Sixty-five NW, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lincoln Options Elementary,11:00AM-1:00PM,"213 21st Ave SE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
LP Brown Elementary,11:00AM-1:00PM,"2000 26th Ave. NW, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Madison Elementary,11:00AM-1:00PM,"1225 Legion Way SE., Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
McKenny Elementary,11:00AM-1:00PM,"3250 Morse-Merryman Rd. SE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
McLane Elementary,11:00AM-1:00PM,"200 Delphi Rd. SW, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Olympia Regional Learning Academy,11:00AM-1:00PM,"2400 15th Ave SE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pioneer Elementary,11:00AM-1:00PM,"1655 Carlyon Ave SE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Roosevelt Elementary,11:00AM-1:00PM,"1417 San FRancisco St NE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Jefferson Middle School,11:00AM-1:00PM,"2200 Conger Ave NW, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
1209 Fern Street SW (Fern Street near Fern Ridge Place SW),11:00AM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
"515 Courtside St SW, Olympia (Courtside Street near 5th Ave; off of Capital Mall Drive SW)",11:00AM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
McLane Fire Station #94 (Near Copperfield Drive NW and 60th Lane NW),11:00AM-1:00PM,"6005 Cooper Point Rd. NW, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Skateland Skate Center (Off of South Bay ROad NE; cross street 12th Ave NE),11:00AM-1:00PM,"2725 12th Ave NE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
"Friendly Grove Park (Off of Friendly Grove Road NE, cross street 25th Lane NE)",11:00AM-1:00PM,"2316 Friendly Grove Road NE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Gull Harbor Lutheran Church (On Boston Harbor Road NE; Cross Street 46th Avenue NE),11:00AM-1:00PM,"4610 Boston Harbor Road NE, Olympia","'M', 'T', 'W', 'TH', 'F'",Olympia,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Rainer Elementary School,11:00AM-1:00PM,"2410 Stryker Ave, Joint Base Lewis-McChord","'M', 'T', 'W', 'TH', 'F'",Rainier,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Swede Hall Parking Lot,12:00AM-1:00PM,"18543 Albany St SW, Rochester","'M', 'T', 'W', 'TH', 'F'",Rochester,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Rochester High School,11:00AM-12:00PM,"19800 Carper Rd SW, Rochester","'M', 'T', 'W', 'TH', 'F'",Rochester,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
201st @Prarie Pines Park,11:00AM,"6411 201st Ave SW, Centralia","'M', 'T', 'W', 'TH', 'F'",Rochester,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Bus Garage Parking Lot,11:40AM,"7505 183rd Ave, Rochester","'M', 'T', 'W', 'TH', 'F'",Rochester,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Boys and Girls Club,12:00PM,"10140 Highway 12 SW, Rochester","'M', 'T', 'W', 'TH', 'F'",Rochester,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Bucoda Community Center,11:00AM-1:00PM,"101A E 7th St, Bucoda","'M', 'T', 'W', 'TH', 'F'",Tenino,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Tenino Middle School,11:00AM-1:00PM,"301 Old Hwy 99 SE, Tenino","'M', 'T', 'W', 'TH', 'F'",Tenino,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Fire Station #43 Violet Prairie,11:00AM-1:00PM,"17134 Old Hwy 99 SE, Tenino","'M', 'T', 'W', 'TH', 'F'",Tenino,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Tenino Food Bank Meals for All,9:00AM-11:00AM on Tu and 4:00PM-6:00PM on Th,,"M, Th",Tenino,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Bucoda Food Bank for All,1:00PM-3:00PM,,Tu,Tenino,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
East Olympia Elementary,11:30AM-1:00PM and 5:00PM-6:00PM,"8700 Rich Rd SE, Olympia","'M', 'T', 'W', 'TH', 'F'",Tumwater,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Littlerock Elementary,11:30AM-1:00PM and 5:00PM-6:00PM,"12710 Littlerock Rd SW, Olympia","'M', 'T', 'W', 'TH', 'F'",Tumwater,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Michael T. Simmons Elementary,11:30AM-1:00PM and 5:00PM-6:00PM,"1205 South 2nd Ave SW, Tumwater","'M', 'T', 'W', 'TH', 'F'",Tumwater,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Tumwater High School,11:30AM-1:00PM and 5:00PM-6:00PM,"700 Israel Rd SW, Tumwater","'M', 'T', 'W', 'TH', 'F'",Tumwater,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Fort Stevens Elementary School,11:00AM-12:30PM,"16525 100th Way SE, Yelm","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
McKenna Elementary School,11:00AM-12:30PM,"35120 SR 507 S, Roy","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Southworth Elementary School,11:00AM-12:30PM,"13849 Yelm Hwy SE, Yelm","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Ridgeline Middle School,11:00AM-12:30PM,"10605 Carter St SE, Yelm","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Yelm High School (Tornado Alley Parent Drop Off Zone),11:00AM-12:30PM,"1315 W Yelm Ave, Yelm","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Dylan’s Corner/Mackey’s Store,11:00AM-12:30PM,"15201 Vail Road SE, Yelm","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Clearwood Front & Back Gates,11:00AM-12:30PM,"21603 N Clear Lake Blvd SE, Yelm","'M', 'T', 'W', 'TH', 'F'",Yelm,Thurston County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
J.A. Wendt Elementary School,10:00-11:30 PM,"265 S 3rd St, Cathlamet","'M', 'T', 'W', 'TH', 'F'",Wahkiakum ,Wahkiakum County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Davis Elementary School,11:30AM-1:00PM,"31 SE Ash St, College Place","'M', 'T', 'W', 'TH', 'F'",College Place,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
College Place High School (CPHS),11:30AM-1:00PM,"1755 S College Ave, Collage Place","'M', 'T', 'W', 'TH', 'F'",College Place,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Farm Labor Homes,11:30AM-1:00PM,"165 Labor Camp Rd, Walla Walla","'M', 'T', 'W', 'TH', 'F'",College Place,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Columbia Elementary School,11:30AM-1:00PM,"977 Maple St (170.46 mi), Burbank","'M', 'T', 'W', 'TH', 'F'",Columbia ,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
202 Harmon St.,9:00AM-9:15AM,,"'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
705 Maple St.,9:20AM-9:35AM,,"'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Whiskey Canyon Parking Lot,9:40AM-9:55AM,"701 Preston Ave, Waitsburg","'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
High School Parking Lot,10:00AM-10:15AM,,"'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
900 Caroline St (side of football field),10:20AM-10:35AM,,"'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Preston Hall Parking Lot,10:40AM-10:55AM,"605 Main St, Waitsburg","'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Catholic Church Parking Lot,11AM-11:15AM,,"'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Waitsburg Grocery Store Parking Lot,11:20AM-11:35AM,"200 Main St, Waitsburg","'M', 'T', 'W', 'TH', 'F'",Waitsburg,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Sharpstein Elementary School,11:00AM-1:00PM,"410 Howard Street, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Blue Ridge (Round-a-bout in front of main entrance),11:00AM-1:00AM,"1150 W Chestnut St, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Garrison Middle School,11:00AM-1:00PM,"906 Chase Ave, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pioneer Middle School,11:00AM-1:00PM,"450 Bridge St, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Prospect Point Elementary (Near bus loop along Howard),11:00AM-1:00PM,"55 Reser Rd, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Berney Elementary (Near staff parking along School Ave),11:00AM-1:00PM,"1718 Pleasant St, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Edison Elementary (Front of school),11:00AM-1:00PM,"1315 E Alder St, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Green Park Elementary (Near gym entrance),11:00AM-1:00PM,"1105 E Isaacs Ave, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lincoln High School (4th st.),11:00AM-1:00PM,"421 S 4th Ave, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Vista Terrace Park,11:00AM-1:00PM,"920 Mountain Park Dr, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Washington Park,11:00AM-1:00PM,"700 W Cherry St, Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Veterans Memorial Park,11:00AM-1:00PM,"505 E Reese Ave (202.54 mi), Walla Walla","'M', 'T', 'W', 'TH', 'F'",Walla Walla,Walla Walla County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Blaine High School (Parking lot behind new BHS grandstands),11:00AM-12:00PM,"1055 Street, Blaine","'M', 'T', 'W', 'TH', 'F'",Blaine,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Fisher Elementary School,11:00AM-12:30PM,"501 14th St, Lynden","'M', 'T', 'W', 'TH', 'F'",Lynden,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Isom Elementary School,11:00AM -12:30PM,"8461 Benson Rd, Lynden","'M', 'T', 'W', 'TH', 'F'",Lynden,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Bernice Vossbeck Elementary,11:00AM-12:30PM,"1301 E Bridgeview Dr, Lynden","'M', 'T', 'W', 'TH', 'F'",Lynden,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lynden Middle School,11:00AM-12:30PM,"8750 Line Rd, Lynden","'M', 'T', 'W', 'TH', 'F'",Lynden,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Meridian Middle School,11:30AM-12:30PM,"861 Ten Mile Rd, Lynden","'M', 'T', 'W', 'TH', 'F'",Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pollman Circle,11:00AM-11:30AM,South end of Vail Dr.,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Mobile Lane,11:00AM-11:15AM,,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Mormon Church,11:20AM-11:35AM,5800 Northwest Dr.,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Cordata Presbyterian Church,11:00AM-11:30AM,400 Meadowbrook Ct.,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pacific Rim Apartments,11:00AM-11:30AM,,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Truth Tabernacle,11:00AM-11:30AM,901 54th Terrace,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
New Life Fellowship,11:00AM-11:30AM,810 E. Pole Rd.,,Meridian,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Reverse the Baker Bus,10:00AM-12:00PM,Morning routine elementary bus routes,"T, F",Mount Baker,Whatcom County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Jennings Elementary School,8:00AM-10:00AM,"1207 N Morton St, Colfax","'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pearson Farm and Fence,Shortly before 8:00AM- 8:15AM,"601 N Main St, Colfax","'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Ace Hardware,Shortly before 8:00AM- 8:15AM,"610 S Main St, Colfax","'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Catholic Church parking lot,Shortly before 8:00AM- 8:15AM,,"'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lookout Park (Thorn Hill),Shortly before 8:00AM- 8:15AM,,"'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Hauser Heights,Shortly before 8:00AM- 8:15AM,,"'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
10th Street,Shortly before 8:00AM- 8:15AM,,"'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Rural Bus Route,8:30AM-9:30AM,A school bus will deliver to the regular bus stop.,"'M', 'T', 'W', 'TH', 'F'",Colfax,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Franklin Elementary School,8:30AM-11:30AM and 11:30AM-12:15PM,"850 SE Klemgard St, Pullman","'M', 'T', 'W', 'TH', 'F'",Pullman,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Jefferson Elementary School,8:30AM-11:30AM and 11:30AM-12:15PM,"1150 NW Bryant St, Pullman","'M', 'T', 'W', 'TH', 'F'",Pullman,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Kamiak Elementary School,8:30AM-11:30AM and 11:30AM-12:15PM,1400 NW Terre View Dr,"'M', 'T', 'W', 'TH', 'F'",Pullman,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Sunnyside Elementary School,8:30AM-11:30AM and 11:30AM-12:15PM,"425 SW Shirley St, Pullman","'M', 'T', 'W', 'TH', 'F'",Pullman,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Lincoln Middle School,8:30AM-11:30AM and 11:30AM-12:15PM,"315 SE Crestview St, Pullman","'M', 'T', 'W', 'TH', 'F'",Pullman,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Pullman High School,8:30AM-11:30AM and 11:30AM-12:15PM,"510 NW Greyhound Way, Pullman","'M', 'T', 'W', 'TH', 'F'",Pullman,Whitman County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Terrace Heights Elementary ,11:00AM-12:30PM,"101 N 41st St, Yakima",F,East Valley,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Moxee Elementary,11:00AM-12:30PM,"528 E Seattle, Yakima",F,East Valley,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
McClure Elementary School,12:00PM-1:00PM,"811 W 2nd St, Grandview","'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Grandview Middle School,12:00PM-1:00PM,"1401 W 2nd St, Grandview","'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Arthur .H. Smith Elementary School,12:00PM-1:00PM,"205 Fir St, Grandview","'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Eberle PlaceButternut & Briar Ct.,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Larson & Beacon,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Arteaga Circle,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Water Tower Park (Velma & King St.),12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
Hillcrest & Vista,12:00PM-1:00PM,,"'M', 'T', 'W', 'TH', 'F'",Grandview,Yakima County,WA,,,,,,,,,,,Sat Apr 11 17:45:10 2020
